wtc_id,title_en,title_te,english,telugu_chars,english_chars,telugu_stanzas,english_stanzas,author,library_status,url
4,andhaala thaara arudenche naaki,అందాల తార అరుదెన్ఛె నాకై,none,785,0,3,0,A B  Masilamani,in_library_contained,https://waytochurch.com/lyrics/song/4
5,aparaadini yesaiah,అపరాదిని యేసయ్యా,none,624,0,5,0,,in_library_exact,https://waytochurch.com/lyrics/song/5
6,aadedhan paadehan,ఆడెదన్ పాడెదన్,partial,1063,603,2,0,,missing,https://waytochurch.com/lyrics/song/6
7,athyunatha simhasanamu pai,అత్యునత సింహాసనము పై,none,630,0,4,0,,in_library_contained,https://waytochurch.com/lyrics/song/7
8,anni namamula kanna pai namamu,అన్ని నమముల కన్న పై నమము,none,977,0,3,0,,in_library_lyric_line,https://waytochurch.com/lyrics/song/8
9,aaradhinchedan ninnu naa yesaiah,"ఆరాధించెదను నిన్ను, నా యేసయ్య",none,534,0,2,0,,in_library_contained,https://waytochurch.com/lyrics/song/9
21,alayamlo pravesinchandi andharu,ఆలయంలో ప్రవేశించండి అందరూ,none,498,0,2,0,,in_library_exact,https://waytochurch.com/lyrics/song/21
22,ascharya mina prema,ఆశ్చర్యమైన ప్రేమ కల్వరిలోని ప్రేమ,none,560,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/22
23,aaha mahaanandame,ఆహా మహానందమే ఇహ పరంబులన్,none,545,0,3,0,,missing,https://waytochurch.com/lyrics/song/23
24,idi kothaku samayam,ఇది కోతకు సమయం పనివారి తరుణం ప్రార్ధన చేయుదమా,none,365,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/24
25,udhayakanthi rekalo,ఉదయ కాంతి రేఖలో బెత్లెహేము పురమున,none,417,0,2,0,,missing,https://waytochurch.com/lyrics/song/25
26,unnanthamyna prema dm,ఉన్నతమైన ప్రేమ అత్యున్నతమైన ప్రేమ,none,478,0,2,0,,missing,https://waytochurch.com/lyrics/song/26
27,unnathamyna sthalamulalo cm,ఉన్నతమైన స్థలములలో ఉన్నతుడా మా దేవా,none,744,0,3,0,,missing,https://waytochurch.com/lyrics/song/27
28,oohala kandhani lokamulo,ఊహల కందని లోకములో ఉన్నత సింహాసనమందు,none,376,0,2,0,,missing,https://waytochurch.com/lyrics/song/28
30,enni thalachina,ఎన్ని తలచినా ఏది అడిగినా జరిగేది నీ చిత్తమే,none,979,0,3,0,,in_library_contained,https://waytochurch.com/lyrics/song/30
31,oka saari aalochinchava,ఒకసారి ఆలోచించవా ఓ సోదరా,none,478,0,3,0,,missing,https://waytochurch.com/lyrics/song/31
32,o neethi suryuda,ఓ నీతి సూర్యుడా క్రీస్తేసు నాథుడా,none,397,0,2,0,,missing,https://waytochurch.com/lyrics/song/32
33,o yesu divya prema,ఓ యేసు నీ దివ్య ప్రేమ వివరింప నాకు తరమా,none,307,0,2,0,,missing,https://waytochurch.com/lyrics/song/33
34,oranna oranna,ఓరన్న ఓరన్న యేసుకు సాటివేరే లేరన్న లేరన్న,none,646,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/34
35,kanumaa siluva pai,కనుమా సిలువపై క్రీస్తేసుడు పొందిన శ్రమలు,none,703,0,2,0,,missing,https://waytochurch.com/lyrics/song/35
36,kaluvari girilona,కల్వరిగిరిలోన సిల్వలో శ్రీయేసు పలు బాధలొందెను,none,276,0,2,0,,in_library_contained,https://waytochurch.com/lyrics/song/36
